ss_id,dim,n_configs,n_tasks,random,tpe,rf_smbo,rf_candidate_2k,gain_vs_smbo,best
4796,3,300,4,0.0659,0.0839,0.0523,0.0455,+0.0068,rf_candidate_2k
5527,6,44790,6,0.0853,0.0853,0.1105,0.0947,+0.0158,random
5636,6,43841,6,0.4635,0.4635,0.3740,0.3434,+0.0306,rf_candidate_2k
5859,6,2878,6,0.2883,0.2883,0.2185,0.1585,+0.0600,rf_candidate_2k
5889,5,298,2,0.1143,0.1143,0.0379,0.0395,-0.0016,rf_smbo
5891,6,2584,6,0.0398,0.0398,0.0291,0.0325,-0.0034,rf_smbo
5906,15,254,2,0.1152,0.1152,0.0849,0.0961,-0.0112,rf_smbo
5965,8,11228,7,0.0523,0.0523,0.0441,0.0453,-0.0012,rf_smbo
5971,15,2265,6,0.0217,0.0217,0.0123,0.0165,-0.0042,rf_smbo
6766,2,39155,6,0.0690,0.0948,0.0694,0.0616,+0.0078,rf_candidate_2k
6767,17,44258,6,0.0859,0.0859,0.0839,0.0624,+0.0215,rf_candidate_2k
6794,8,52448,6,0.0389,0.0389,0.0373,0.0360,+0.0013,rf_candidate_2k
7607,7,647,7,0.0491,0.0491,0.0353,0.0361,-0.0008,rf_smbo
7609,7,1269,7,0.0235,0.0235,0.0141,0.0167,-0.0026,rf_smbo
