ss,task,seed,step,U,K,gap_norm,retains_top,sel_obj_rank,reg_restrict,reg_full
6767,146065,0,5,44253,1000,0.0137,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,6,44252,1250,0.02482,0,0.2366,0.007782592529365973,0.03891062412743984
6767,146065,0,7,44251,1415,0.01627,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,8,44250,1096,0.01627,0,0.2235,0.007782592529365973,0.03891062412743984
6767,146065,0,9,44249,1325,0.01873,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,10,44248,1198,0.0115,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,11,44247,1171,0.03525,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,12,44246,1285,0.08751,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,13,44245,1529,0.01638,0,0.2119,0.007782592529365973,0.03891062412743984
6767,146065,0,14,44244,1356,0.03555,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,15,44243,1359,0.15229,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,16,44242,1674,0.0547,0,0.9336,0.007782592529365973,0.03891062412743984
6767,146065,0,17,44241,1672,0.13686,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,18,44240,1836,0.09267,0,0.0584,0.007782592529365973,0.03891062412743984
6767,146065,0,19,44239,2053,0.06197,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,20,44238,1846,0.01939,0,0.9966,0.007782592529365973,0.03891062412743984
6767,146065,0,21,44237,1000,0.01964,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,22,44236,1000,0.08215,0,0.0061,0.007782592529365973,0.03891062412743984
6767,146065,0,23,44235,1078,0.12511,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,0,24,44234,1000,0.08434,0,0.9237,0.007782592529365973,0.03891062412743984
6767,146065,1,5,44253,1000,0.03631,0,0.9237,0.0,0.0
6767,146065,1,6,44252,1133,0.01151,0,0.9237,0.0,0.0
6767,146065,1,7,44251,1140,0.01804,0,0.1836,0.0,0.0
6767,146065,1,8,44250,1114,0.05093,0,0.9832,0.0,0.0
6767,146065,1,9,44249,1073,0.02889,0,0.0054,0.0,0.0
6767,146065,1,10,44248,1091,0.02683,0,0.9237,0.0,0.0
6767,146065,1,11,44247,1158,0.02128,0,0.9237,0.0,0.0
6767,146065,1,12,44246,1177,0.07566,0,0.9503,0.0,0.0
6767,146065,1,13,44245,1144,0.08638,0,0.9237,0.0,0.0
6767,146065,1,14,44244,1311,0.0,1,0.2035,0.0,0.0
6767,146065,1,15,44243,1184,0.04525,0,1.0,0.0,0.0
6767,146065,1,16,44242,1165,0.02474,0,0.045,0.0,0.0
6767,146065,1,17,44241,1136,0.01759,0,0.9618,0.0,0.0
6767,146065,1,18,44240,1190,0.09112,0,0.9866,0.0,0.0
6767,146065,1,19,44239,1123,0.04951,0,1.0,0.0,0.0
6767,146065,1,20,44238,1072,0.02379,0,0.9919,0.0,0.0
6767,146065,1,21,44237,1097,0.0133,0,0.9951,0.0,0.0
6767,146065,1,22,44236,1036,0.01765,0,0.9238,0.0,0.0
6767,146065,1,23,44235,1156,0.00853,1,0.9238,0.0,0.0
6767,146065,1,24,44234,1166,0.01018,0,0.9238,0.0,0.0
6767,146065,2,5,44253,1000,0.0,1,0.9237,0.01945414280402502,0.40466908781374156
6767,146065,2,6,44252,1016,0.00859,1,0.9237,0.01945414280402502,0.40466908781374156
6767,146065,2,7,44251,1029,0.01027,0,0.9329,0.01945414280402502,0.40466908781374156
6767,146065,2,8,44250,1000,0.07035,0,0.9237,0.01945414280402502,0.40466908781374156
6767,146065,2,9,44249,1000,0.04369,0,0.9237,0.01945414280402502,0.40466908781374156
6767,146065,2,10,44248,1053,0.0573,0,0.9237,0.01945414280402502,0.40466908781374156
6767,146065,2,11,44247,1128,0.05522,0,0.9832,0.01945414280402502,0.40466908781374156
6767,146065,2,12,44246,1000,0.03176,0,0.9237,0.01945414280402502,0.40466908781374156
6767,146065,2,13,44245,1000,0.0,1,0.9597,0.01945414280402502,0.40466908781374156
6767,146065,2,14,44244,1000,0.06732,0,0.1934,0.01945414280402502,0.40466908781374156
6767,146065,2,15,44243,1000,0.08713,0,0.9329,0.01945414280402502,0.40466908781374156
6767,146065,2,16,44242,1000,0.03676,0,0.9675,0.01945414280402502,0.40466908781374156
6767,146065,2,17,44241,1000,0.03336,0,0.9238,0.01945414280402502,0.40466908781374156
6767,146065,2,18,44240,1000,0.0763,0,0.9918,0.01945414280402502,0.40466908781374156
6767,146065,2,19,44239,1000,0.03151,0,0.9238,0.01945414280402502,0.40466908781374156
6767,146065,2,20,44238,1000,0.09049,0,0.9837,0.01945414280402502,0.40466908781374156
6767,146065,2,21,44237,1000,0.03418,0,0.9918,0.01945414280402502,0.40466908781374156
6767,146065,2,22,44236,1000,0.04111,0,0.9407,0.01945414280402502,0.40466908781374156
6767,146065,2,23,44235,1000,0.04389,0,0.9918,0.01945414280402502,0.40466908781374156
6767,146065,2,24,44234,1000,0.04297,0,0.045,0.01945414280402502,0.40466908781374156
6767,146065,3,5,44253,1000,0.00592,1,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,6,44252,1009,0.00663,1,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,7,44251,1021,0.00604,1,0.0583,0.023345439068708007,0.011673888794048959
6767,146065,3,8,44250,1018,0.01656,0,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,9,44249,1035,0.00935,1,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,10,44248,1035,0.00454,1,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,11,44247,1066,0.00636,1,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,12,44246,1052,0.01621,0,0.0076,0.023345439068708007,0.011673888794048959
6767,146065,3,13,44245,1029,0.00602,1,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,14,44244,1024,0.01095,0,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,15,44243,1103,0.00875,1,0.9236,0.023345439068708007,0.011673888794048959
6767,146065,3,16,44242,1059,0.00373,1,0.9236,0.023345439068708007,0.011673888794048959
6767,146065,3,17,44241,1128,0.03501,0,0.0085,0.023345439068708007,0.011673888794048959
6767,146065,3,18,44240,1091,0.01238,0,0.9236,0.023345439068708007,0.011673888794048959
6767,146065,3,19,44239,1056,0.0,1,0.9236,0.023345439068708007,0.011673888794048959
6767,146065,3,20,44238,1069,0.00936,1,0.9908,0.023345439068708007,0.011673888794048959
6767,146065,3,21,44237,1000,0.04638,0,0.9763,0.023345439068708007,0.011673888794048959
6767,146065,3,22,44236,1000,0.05364,0,0.0595,0.023345439068708007,0.011673888794048959
6767,146065,3,23,44235,1000,0.04132,0,0.9237,0.023345439068708007,0.011673888794048959
6767,146065,3,24,44234,1000,0.01005,0,0.985,0.023345439068708007,0.011673888794048959
6767,146065,4,5,44253,1000,0.0,1,0.9237,0.023345439068708007,0.015565185058731945
6767,146065,4,6,44252,1065,0.0,1,0.1934,0.023345439068708007,0.015565185058731945
6767,146065,4,7,44251,1000,0.03246,0,0.9237,0.023345439068708007,0.015565185058731945
6767,146065,4,8,44250,1000,0.00014,1,0.9247,0.023345439068708007,0.015565185058731945
6767,146065,4,9,44249,1000,0.095,0,0.9823,0.023345439068708007,0.015565185058731945
6767,146065,4,10,44248,1000,0.00155,1,0.9635,0.023345439068708007,0.015565185058731945
6767,146065,4,11,44247,1000,0.0,1,0.9908,0.023345439068708007,0.015565185058731945
6767,146065,4,12,44246,1000,0.01646,0,0.045,0.023345439068708007,0.015565185058731945
6767,146065,4,13,44245,1000,0.01355,0,0.1678,0.023345439068708007,0.015565185058731945
6767,146065,4,14,44244,1000,0.03583,0,0.045,0.023345439068708007,0.015565185058731945
6767,146065,4,15,44243,1000,0.00021,1,0.9908,0.023345439068708007,0.015565185058731945
6767,146065,4,16,44242,1000,0.02742,0,0.9238,0.023345439068708007,0.015565185058731945
6767,146065,4,17,44241,1000,0.02693,0,0.9908,0.023345439068708007,0.015565185058731945
6767,146065,4,18,44240,1000,0.06318,0,0.9238,0.023345439068708007,0.015565185058731945
6767,146065,4,19,44239,1000,0.02152,0,0.9531,0.023345439068708007,0.015565185058731945
6767,146065,4,20,44238,1000,0.07997,0,0.2119,0.023345439068708007,0.015565185058731945
6767,146065,4,21,44237,1000,0.07945,0,0.9838,0.023345439068708007,0.015565185058731945
6767,146065,4,22,44236,1000,0.00809,1,0.985,0.023345439068708007,0.015565185058731945
6767,146065,4,23,44235,1000,0.0,1,0.9817,0.023345439068708007,0.015565185058731945
6767,146065,4,24,44234,1000,0.02614,0,0.1285,0.023345439068708007,0.015565185058731945
6767,145804,0,5,45098,1000,0.03822,0,0.8171,0.0016002427954586729,0.0047991955867633385
6767,145804,0,6,45097,1000,0.0859,0,0.407,0.0016002427954586729,0.0047991955867633385
6767,145804,0,7,45096,1039,0.06963,0,0.407,0.0016002427954586729,0.0047991955867633385
6767,145804,0,8,45095,1036,0.10419,0,0.7458,0.0016002427954586729,0.0047991955867633385
6767,145804,0,9,45094,1042,0.05839,0,0.407,0.0016002427954586729,0.0047991955867633385
6767,145804,0,10,45093,1149,0.15362,0,0.9993,0.0016002427954586729,0.0047991955867633385
6767,145804,0,11,45092,1097,0.0995,0,0.9946,0.0016002427954586729,0.0047991955867633385
6767,145804,0,12,45091,1002,0.05572,0,0.963,0.0016002427954586729,0.0047991955867633385
6767,145804,0,13,45090,1066,0.08811,0,0.4122,0.0016002427954586729,0.0047991955867633385
6767,145804,0,14,45089,1114,0.06927,0,0.7876,0.0016002427954586729,0.0047991955867633385
6767,145804,0,15,45088,1085,0.0414,0,0.966,0.0016002427954586729,0.0047991955867633385
6767,145804,0,16,45087,1170,0.04815,0,0.8213,0.0016002427954586729,0.0047991955867633385
6767,145804,0,17,45086,1182,0.08109,0,0.8233,0.0016002427954586729,0.0047991955867633385
6767,145804,0,18,45085,1197,0.02726,0,0.7687,0.0016002427954586729,0.0047991955867633385
6767,145804,0,19,45084,1213,0.13075,0,0.407,0.0016002427954586729,0.0047991955867633385
6767,145804,0,20,45083,1273,0.02179,0,0.9689,0.0016002427954586729,0.0047991955867633385
6767,145804,0,21,45082,1235,0.02468,0,0.9999,0.0016002427954586729,0.0047991955867633385
6767,145804,0,22,45081,1214,0.03949,0,0.972,0.0016002427954586729,0.0047991955867633385
6767,145804,0,23,45080,1122,0.07288,0,0.5345,0.0016002427954586729,0.0047991955867633385
6767,145804,0,24,45079,1164,0.05606,0,0.46,0.0016002427954586729,0.0047991955867633385
6767,145804,1,5,45098,1000,0.01216,0,0.9596,0.02399904353304183,0.02399904353304183
6767,145804,1,6,45097,1000,0.01028,0,0.407,0.02399904353304183,0.02399904353304183
6767,145804,1,7,45096,1002,0.01473,0,0.5483,0.02399904353304183,0.02399904353304183
6767,145804,1,8,45095,1057,0.01184,0,0.5162,0.02399904353304183,0.02399904353304183
6767,145804,1,9,45094,1080,0.00379,1,0.6919,0.02399904353304183,0.02399904353304183
6767,145804,1,10,45093,1101,0.02518,0,0.9596,0.02399904353304183,0.02399904353304183
6767,145804,1,11,45092,1088,0.02954,0,0.9596,0.02399904353304183,0.02399904353304183
6767,145804,1,12,45091,1107,0.01955,0,0.9596,0.02399904353304183,0.02399904353304183
