ss,task,seed,step,N,over_full,K_ak,over_ak,sigma_t
6767,146065,0,5,44253,0.19868674597365446,1000,0.1848248799754925,0.11107342274656677
6767,146065,0,6,44252,0.1848248799754925,1267,0.1826369027713794,0.08104041923435994
6767,146065,0,7,44251,0.1986867459736544,1540,0.1986867459736544,0.06246136206717236
6767,146065,0,8,44250,-0.3776746815521219,1125,0.13910565664455227,0.09495394372854195
6767,146065,0,9,44249,0.18829074840805315,1000,0.22227612184621423,0.1455844389168415
6767,146065,0,10,44248,0.3104326027019254,1000,0.2920717177126475,0.13301112073616014
6767,146065,0,11,44247,0.3322588445726473,1000,0.21187968580822739,0.11520384944460024
6767,146065,0,12,44246,0.31097985277851203,1000,0.3976167710425826,0.11833782040462862
6767,146065,0,13,44245,0.29049102476258204,1097,0.28751193375676154,0.09819620298184363
6767,146065,0,14,44244,0.2629496607392998,1000,0.18616229383028446,0.12510116424244497
6767,146065,0,15,44243,-0.10511933318288841,1000,0.028758344129498015,0.13036838847368332
6767,146065,0,16,44242,0.36879868505054725,1000,0.3860654718196722,0.14306963977271295
6767,146065,0,17,44241,0.26781429262126977,1000,-0.5358102589676371,0.11669847226313414
6767,146065,0,18,44240,-0.3205252504554267,1080,-0.4791457052506774,0.10022235984661076
6767,146065,0,19,44239,-0.3243549413499335,1000,0.3576724848054704,0.12779613130504527
6767,146065,0,20,44238,0.49708123548656424,1000,0.5139221924905466,0.16519610814787206
6767,146065,0,21,44237,0.43257496854691435,1000,-0.4348244415031066,0.1273383378289422
6767,146065,0,22,44236,-0.3710475733768921,1000,0.5127661235065634,0.11843953704939478
6767,146065,0,23,44235,-0.23078767471662953,1000,0.46023819135402627,0.14723983990839642
6767,146065,0,24,44234,0.5739900957857549,1044,0.4959272857857778,0.104813565461782
6767,146065,1,5,44253,0.4926420679760818,1000,0.39725071967934245,0.28929411914060765
6767,146065,1,6,44252,0.43920193056468265,1193,0.35913073434185894,0.2287222210469045
6767,146065,1,7,44251,0.40272248965789825,1170,0.40582241634531524,0.23463234717349385
6767,146065,1,8,44250,0.4649184821372203,1249,0.5082072530348137,0.21500265756874312
6767,146065,1,9,44249,-0.10566585247216553,1293,0.3053249840396052,0.20545345709263774
6767,146065,1,10,44248,-0.4916094289686428,1321,0.35554370137341285,0.1995510303570439
6767,146065,1,11,44247,0.6178851643745281,1225,0.5188475527979218,0.22068943976286942
6767,146065,1,12,44246,-0.31991771042582096,1184,-0.3568832345114016,0.2308538482585264
6767,146065,1,13,44245,0.4920347106433033,1034,0.31450517075868634,0.27653555649227346
6767,146065,1,14,44244,-0.26617195776166225,1000,0.5822591003482059,0.32760672565547244
6767,146065,1,15,44243,-0.19911279497498957,1000,0.45816977095371847,0.3179247766895535
6767,146065,1,16,44242,-0.3084262626835441,1003,0.20877924756969402,0.28831232650789923
6767,146065,1,17,44241,-0.21115105432146652,1000,0.5092406593689274,0.32023004212941597
6767,146065,1,18,44240,0.5582439312498692,1000,0.5837776763769791,0.3152989821370843
6767,146065,1,19,44239,0.24452749923413492,1000,0.5443826498815542,0.32795799265410003
6767,146065,1,20,44238,-0.2575385095680518,1000,0.5497927414112033,0.2983933998261969
6767,146065,1,21,44237,-0.0914391409098243,1000,-0.20421957323190398,0.32533661730413926
6767,146065,1,22,44236,0.547968988602057,1000,0.6057874554804374,0.3179814422052885
6767,146065,1,23,44235,-0.2034889320800426,1000,-0.1906003651598025,0.30541007559744554
6767,146065,1,24,44234,-0.24106367700604037,1000,0.5621358121443991,0.31118169500494264
6767,146065,2,5,44253,-0.03246573776778974,1000,-0.03246573776778974,0.04967024691342406
6767,146065,2,6,44252,-0.0365999477340917,1013,-0.0324657377677898,0.04882877015109939
6767,146065,2,7,44251,-0.034532842750940734,1026,-0.03392490078831495,0.04801745389805643
6767,146065,2,8,44250,-0.03246573776778974,1049,-0.03477612184621437,0.04658775679035166
6767,146065,2,9,44249,-0.03781590473807425,1051,-0.03599207885019687,0.04649607864912885
6767,146065,2,10,44248,-0.036599947734091726,1110,0.004377781376499107,0.04321614982361201
6767,146065,2,11,44247,-0.028331527801487844,1146,-0.036600020812822626,0.04140888000287101
6767,146065,2,12,44246,-0.0336816947717723,1170,-0.04280140884100647,0.04026654043095688
6767,146065,2,13,44245,-0.03599207885019687,1129,-0.03599207885019687,0.04222924709890463
6767,146065,2,14,44244,-0.03222253175124709,1203,-0.024805259797811702,0.038822172245400806
6767,146065,2,15,44243,-0.00376991249260461,1232,0.10785434122739508,0.037620806733067017
6767,146065,2,16,44242,-0.027480306743588423,1367,-0.02760190975185975,0.032749453527659414
6767,146065,2,17,44241,-0.05477839167159701,1452,-0.054596096777286385,0.03019546571855928
6767,146065,2,18,44240,-0.03866705271724272,1202,-0.037207962775448467,0.03885065270191434
6767,146065,2,19,44239,0.13351257597264846,1258,-0.02790595381190361,0.03656290224978353
6767,146065,2,20,44238,-0.03696512215256026,1244,-0.037998674644135755,0.03713202679535122
6767,146065,2,21,44237,-0.03155408059940931,1288,-0.5069305310660609,0.0354529240948931
6767,146065,2,22,44236,-0.0398834481936107,1228,-0.03824180758194756,0.03777675958374139
6767,146065,2,23,44235,-0.43762109145715483,1266,-0.015686349594617732,0.036260246318601794
6767,146065,2,24,44234,0.21376475167262615,1000,0.1704154350464546,0.08467480726464685
6767,145804,0,5,45098,-0.3424994750161324,1000,-0.26555063526879874,0.27535236339120267
6767,145804,0,6,45097,0.2383491422453367,1000,0.6851249749004061,0.2891304272146453
6767,145804,0,7,45096,-0.3846997954478917,1000,-0.38615059028113063,0.2848919742181225
6767,145804,0,8,45095,-0.3250007711898054,1027,-0.21607526467617355,0.26582882988069806
6767,145804,0,9,45094,-0.17202492696209837,1049,-0.17677485741131616,0.25841681902746233
6767,145804,0,10,45093,0.6969499970110408,1051,0.6873500969878955,0.25754663330857014
6767,145804,0,11,45092,0.07740020133322922,1029,-0.17247590534809099,0.26515001602426874
6767,145804,0,12,45091,0.21257456591115015,1092,-0.26207484449747875,0.24481095398187808
6767,145804,0,13,45090,0.718925098405735,1162,-0.19464969589255698,0.22546456746565754
6767,145804,0,14,45089,0.2738242085772398,1306,-0.16762574417421172,0.19290695740448094
6767,145804,0,15,45088,-0.13779959526426244,1280,0.14132462722313488,0.1981774239583105
6767,145804,0,16,45087,-0.15502483805972045,1317,0.11964990665250375,0.19078595838302545
6767,145804,0,17,45086,-0.20399984537883897,1273,-0.12620070899645985,0.19956684775037192
6767,145804,0,18,45085,-0.07845071991765762,1274,-0.10765079203587968,0.19932427099882555
6767,145804,0,19,45084,-0.08230080119435712,1333,0.20664936135904177,0.18760720948658824
6767,145804,0,20,45083,-0.10165062400272185,1360,-0.0587754166915736,0.18267444857289453
6767,145804,0,21,45082,0.11560005847630539,1367,-0.12982566033007337,0.1815482249998848
6767,145804,0,22,45081,-0.10667435078272325,1375,-0.08015013963804407,0.18015130478524724
6767,145804,0,23,45080,-0.07022559744696888,1424,-0.123075689836465,0.1718620616531586
6767,145804,0,24,45079,-0.09279964029025078,1342,-0.07487505767158453,0.1860838335144003
6767,145804,1,5,45098,-0.13597518052547364,1000,-0.12235022056986355,0.20415454710060116
6767,145804,1,6,45097,-0.1391000799354989,1012,0.25392506870774345,0.2008948369665882
6767,145804,1,7,45096,0.36362490247562534,1149,0.38924986319763527,0.16966351274361988
6767,145804,1,8,45095,0.06100015557916172,1105,0.34760005732670646,0.1787463550556848
6767,145804,1,9,45094,0.36977502142087554,1143,0.36977502142087554,0.17079174529110847
6767,145804,1,10,45093,-0.16040005495086518,1110,-0.1906241330102184,0.17767657793708513
6767,145804,1,11,45092,-0.13932506617862228,1089,-0.13932506617862228,0.18217852846722993
6767,145804,1,12,45091,-0.1343000221489532,1106,0.2240010361725393,0.17859377392413095
6767,145804,1,13,45090,0.0839751452710844,1152,0.14467549482603603,0.1691227818644684
6767,145804,1,14,45089,-0.16117502885495172,1173,0.3295499527897729,0.16494693496823437
6767,145804,1,15,45088,0.36122501728231665,1264,0.35955000260576037,0.14944750661354544
6767,145804,1,16,45087,0.05882554402890339,1135,0.3552999803801659,0.1724392768952312
6767,145804,1,17,45086,0.3946499641324899,1181,0.39639989439010753,0.16350835316026582
6767,145804,1,18,45085,0.36337496033881106,1229,0.35602552149674926,0.15509532422315928
6767,145804,1,19,45084,-0.12487454993171299,1124,-0.09797501843191414,0.17471056230919338
6767,145804,1,20,45083,0.33314985242971745,1248,0.20765008790605832,0.15199513193645925
6767,145804,1,21,45082,0.20375045409188564,1306,0.24525090780057057,0.14307287237588542
6767,145804,1,22,45081,0.2925256571495143,1306,0.2994503667989473,0.1429619861023974
6767,145804,1,23,45080,0.2118499588443309,1388,0.234849952329932,0.13186554926397634
6767,145804,1,24,45079,-0.0648499734059258,1514,-0.03380007560534004,0.11740003277999263
6767,145804,2,5,45098,-0.24099949647532737,1000,-0.27060006039230466,0.14169101870351955
6767,145804,2,6,45097,0.21142525360169595,1000,-0.17894956476154988,0.17531127247351108
6767,145804,2,7,45096,-0.16472492090753987,1000,-0.18497579038812018,0.15471207627018996
6767,145804,2,8,45095,0.3699243256831309,1000,0.20239965048336883,0.166995372468517
6767,145804,2,9,45094,0.3078502523754566,1000,0.19192456978146877,0.17055465823862434
6767,145804,2,10,45093,0.345274321314652,1000,0.24542428180674192,0.16870796492187465
6767,145804,2,11,45092,-0.2105507674727657,1000,-0.20832588488521608,0.1623802320303304
6767,145804,2,12,45091,-0.1392002867101666,1000,0.0745505592036192,0.1545949958988392
6767,145804,2,13,45090,-0.14079995470577045,1000,-0.15660014891148133,0.17976804483554185
6767,145804,2,14,45089,-0.020249240880991337,1000,-0.12820036584094696,0.16390315548618406
6767,145804,2,15,45088,-0.16454955905187063,1000,-0.18597515178548119,0.16318431602297936
6767,145804,2,16,45087,-0.18540035193079052,1000,-0.13835054092498267,0.17181948180311538
6767,145804,2,17,45086,0.3179257513783704,1000,0.11039979629093166,0.17474959236672435
6767,145804,2,18,45085,-0.14415031935879863,1000,-0.13720034246575263,0.1673092831264322
6767,145804,2,19,45084,-0.1579001545828399,1000,0.2413503159866407,0.16601186067282764
6767,145804,2,20,45083,-0.14142512139772834,1000,-0.09239998674128269,0.17516115401012106
6767,145804,2,21,45082,-0.10490011128125099,1000,-0.1280753708225455,0.17980378945612044
6767,145804,2,22,45081,-0.16442504303334815,1000,-0.17960031004704102,0.1818756255476839
6767,145804,2,23,45080,0.030826133007154866,1000,0.34124981223204814,0.1860299420872144
6767,145804,2,24,45079,0.012650722101898104,1000,0.06460079766891857,0.17386321622943168
6767,146064,0,5,46061,-0.1129110280227636,1000,-0.1129110280227636,0.14200492864359746
6767,146064,0,6,46060,0.3060497781949201,1056,-0.11955285320057313,0.13201439475895202
6767,146064,0,7,46059,-0.11262434028078849,1003,-0.11262434028078849,0.14140707593563961
6767,146064,0,8,46058,-0.11917060287793985,1076,-0.1123376525388135,0.128761562018561
6767,146064,0,9,46057,-0.11271990286144684,1061,-0.11262434028078855,0.13124494223358116
6767,146064,0,10,46056,-0.11214652737749692,1209,-0.11869278997464822,0.11030103160162408
6767,146064,0,11,46055,-0.11166871447420518,1309,-0.11486943659469245,0.09912909528304426
6767,146064,0,12,46054,0.34021452989055156,1457,-0.07267782663327238,0.08593400184801119
6767,146064,0,13,46053,0.30719652916282003,1247,0.320671304679756,0.1057703514963708
6767,146064,0,14,46052,-0.02685374934750684,1363,0.31422060466326307,0.09398466573851569
6767,146064,0,15,46051,0.34542286322388494,1587,0.3664951428598151,0.07673656888009805
6767,146064,0,16,46050,-0.1112864641515719,1143,-0.542479280693521,0.1187935402328365
6767,146064,0,17,46049,-0.11138202673223008,1173,-0.542479280693521,0.114796568651359
6767,146064,0,18,46048,-0.11262434028078855,1153,-0.12060409472241618,0.11742489075582031
6767,146064,0,19,46047,-0.1021116062547498,1185,-0.11128646415157184,0.11322185749898335
6767,146064,0,20,46046,-0.112146607079399,1393,-0.016915719170453758,0.09125921919833982
