ss,task,seed,step,K,over_pred,sigma_t
6767,146065,0,5,50,-0.04815186812621469,0.11107342274656677
6767,146065,0,5,100,0.1755836359767178,0.11107342274656677
6767,146065,0,5,250,0.10481565451649943,0.11107342274656677
6767,146065,0,5,500,-0.06736368185846803,0.11107342274656677
6767,146065,0,5,1000,0.2003900650342244,0.11107342274656677
6767,146065,0,5,2000,0.18944550197487978,0.11107342274656677
6767,146065,0,5,5000,0.30155675235781226,0.11107342274656677
6767,146065,0,6,50,-0.18968783104665116,0.08104041923435994
6767,146065,0,6,100,0.1755836359767178,0.08104041923435994
6767,146065,0,6,250,0.17096301397733046,0.08104041923435994
6767,146065,0,6,500,-0.5372084743265648,0.08104041923435994
6767,146065,0,6,1000,0.13594368611457358,0.08104041923435994
6767,146065,0,6,2000,0.13594368611457358,0.08104041923435994
6767,146065,0,6,5000,0.22373550410293236,0.08104041923435994
6767,146065,0,7,50,-0.12524379064639035,0.06246136206717236
6767,146065,0,7,100,0.35992151928927735,0.06246136206717236
6767,146065,0,7,250,0.18482487997549243,0.06246136206717236
6767,146065,0,7,500,0.3263608428959289,0.06246136206717236
6767,146065,0,7,1000,0.19406612397426712,0.06246136206717236
6767,146065,0,7,2000,0.23759737010109427,0.06246136206717236
6767,146065,0,7,5000,-0.5724701312610933,0.06246136206717236
6767,146065,0,8,50,0.20184871650363287,0.09495394372854195
6767,146065,0,8,100,0.1556424965097598,0.09495394372854195
6767,146065,0,8,250,0.2366257152946184,0.09495394372854195
6767,146065,0,8,500,0.14785990398039386,0.09495394372854195
6767,146065,0,8,1000,-0.375971362491552,0.09495394372854195
6767,146065,0,8,2000,0.1571011479791685,0.09495394372854195
6767,146065,0,8,5000,0.1617217699785559,0.09495394372854195
6767,146065,0,9,50,0.22221586843256055,0.1455844389168415
6767,146065,0,9,100,-0.5533195940447265,0.1455844389168415
6767,146065,0,9,250,0.33311050410293247,0.1455844389168415
6767,146065,0,9,500,0.2638617198407003,0.1455844389168415
6767,146065,0,9,1000,0.2354692078382494,0.1455844389168415
6767,146065,0,9,2000,0.337669995743895,0.1455844389168415
6767,146065,0,9,5000,0.18829074840805315,0.1455844389168415
6767,146065,0,10,50,0.21315640777698022,0.13301112073616014
6767,146065,0,10,100,0.19090444575921192,0.13301112073616014
6767,146065,0,10,250,0.2147371738057767,0.13301112073616014
6767,146065,0,10,500,0.2581466707668708,0.13301112073616014
6767,146065,0,10,1000,0.26878623974266946,0.13301112073616014
6767,146065,0,10,2000,0.2840464307178554,0.13301112073616014
6767,146065,0,10,5000,0.2840464307178554,0.13301112073616014
