ss_id,task_id,split
6767,3493,validation
6767,3917,validation
6767,145857,validation
6767,125923,validation
6767,145862,validation
6767,3492,validation
6767,10101,validation
5906,9970,validation
5906,9977,validation
5906,3889,validation
5971,9952,validation
5971,145804,validation
5971,9967,validation
5971,9983,validation
5971,14951,validation
5971,9977,validation
5965,9978,validation
5965,9971,validation
5965,145862,validation
5965,9967,validation
5965,3492,validation
5965,37,validation
5965,9980,validation
6794,3917,validation
6794,145862,validation
6794,9957,validation
6794,49,validation
6794,145855,validation
6794,146064,validation
7607,145847,validation
7607,145834,validation
7607,145804,validation
7607,145878,validation
7607,31,validation
7607,146065,validation
7607,9971,validation
7609,9971,validation
7609,145836,validation
7609,145872,validation
7609,9980,validation
7609,9914,validation
7609,145839,validation
7609,3889,validation
5527,9971,validation
5527,3913,validation
5527,3493,validation
5527,9946,validation
5527,145872,validation
5527,125923,validation
5891,3494,validation
5891,10101,validation
5891,3889,validation
5891,3950,validation
5891,37,validation
5891,9952,validation
5636,3903,validation
5636,10093,validation
5636,43,validation
5636,3950,validation
5636,3917,validation
5636,125923,validation
5636,3913,validation
5859,34537,validation
5859,9914,validation
5859,9952,validation
5859,3896,validation
5859,9910,validation
5859,9957,validation
5859,3889,validation
5889,49,validation
5889,3950,validation
4796,49,validation
4796,31,validation
4796,9906,validation
4796,9946,validation
6766,145857,validation
6766,9980,validation
6766,125923,validation
6766,146065,validation
6766,9983,validation
6766,9914,validation
