ss_id,algo,dim,rf_candidate_2k,rf_smbo
4796,glmnet,3,0.046817,0.054330
5527,svm,6,0.095604,0.124587
5636,rpart,6,0.320163,0.364449
5859,rpart,6,0.176064,0.236144
5889,ranger,5,0.041081,0.026279
5891,svm,6,0.016564,0.032476
5906,xgboost,15,0.085427,0.075133
5965,ranger,8,0.044642,0.045452
5971,xgboost,15,0.020573,0.013013
6766,glmnet,2,0.067380,0.069488
6767,xgboost,17,0.061320,0.069835
6794,ranger,8,0.033839,0.027559
7607,ranger,7,0.039109,0.037421
7609,ranger,7,0.019945,0.015084
