ss_id,task_id,dim,n_configs,seeds_full_coverage_b25
4796,23,3,300,20
4796,3549,3,300,20
4796,3918,3,300,20
4796,9903,3,300,20
5527,10101,6,44790,20
5527,145804,6,44790,20
5527,146064,6,44790,20
5527,146065,6,44790,20
5527,31,6,44790,20
5527,9914,6,44790,20
5636,10101,6,43841,20
5636,145804,6,43841,20
5636,146064,6,43841,20
5636,146065,6,43841,20
5636,31,6,43841,20
5636,9914,6,43841,20
5859,125923,6,2878,20
5859,31,6,2878,20
5859,37,6,2878,20
5859,3902,6,2878,20
5859,9977,6,2878,20
5859,9983,6,2878,20
5889,3918,5,298,20
5889,9971,5,298,20
5891,3492,6,2584,20
5891,3891,6,2584,20
5891,3899,6,2584,20
5891,6566,6,2584,20
5891,9889,6,2584,20
5891,9980,6,2584,20
5906,3918,15,254,20
5906,9971,15,254,20
5965,10101,8,11228,20
5965,145836,8,11228,20
5965,3903,8,11228,20
5965,49,8,11228,20
5965,9889,8,11228,20
5965,9914,8,11228,20
5965,9946,8,11228,20
5971,10093,15,2265,20
5971,34536,15,2265,20
5971,3954,15,2265,20
5971,43,15,2265,20
5971,6566,15,2265,20
5971,9970,15,2265,20
6766,10101,2,39155,20
6766,145804,2,39155,20
6766,145953,2,39155,20
6766,146064,2,39155,20
6766,31,2,39155,20
6766,3903,2,39155,20
6767,145804,17,44258,20
6767,146064,17,44258,20
6767,146065,17,44258,20
6767,31,17,44258,20
6767,9914,17,44258,20
6767,9967,17,44258,20
6794,10101,8,52448,20
6794,145804,8,52448,20
6794,146065,8,52448,20
6794,3,8,52448,20
6794,31,8,52448,20
6794,9914,8,52448,20
7607,145976,7,647,20
7607,14965,7,647,20
7607,3896,7,647,20
7607,3903,7,647,20
7607,3913,7,647,20
7607,9946,7,647,20
7607,9967,7,647,20
7609,125923,7,1269,20
7609,145853,7,1269,20
7609,145854,7,1269,20
7609,145878,7,1269,20
7609,34537,7,1269,20
7609,3903,7,1269,20
7609,9967,7,1269,20
