ss,task,p_eta0.01,p_eta0.02,p_eta0.05
6767,146065,0.004925663156943378,0.00924126711554973,0.01572597044602106
6767,145804,0.005432011174422988,0.03398886991996098,0.18839101611866174
6767,146064,0.06384318152216385,0.06553640428949768,0.06957408935006296
6767,9914,0.00014764817549040287,0.0004429445264712086,0.006201223370596921
6767,9967,0.2590490292859493,0.29302402105955905,0.3435546232313261
6767,31,4.395733208299144e-05,5.8609776110655256e-05,0.00046887820888524205
5906,9971,0.003937007874015748,0.003937007874015748,0.015748031496062992
5906,3918,0.003861003861003861,0.003861003861003861,0.003861003861003861
5971,10093,0.018543046357615896,0.09050772626931568,0.5479028697571744
5971,3954,0.006688963210702341,0.022157190635451504,0.08904682274247491
5971,43,0.02549659057219093,0.05840498072932108,0.14971835161577232
5971,34536,0.13765414396329223,0.27358761112704333,0.47920848867221105
5971,9970,0.004397309881013968,0.008535954474909468,0.02793585100879462
5971,6566,0.13610719322990128,0.2863187588152327,0.5035260930888575
5965,145836,8.906305664410402e-05,0.0007125044531528322,0.0057000356252226575
5965,9914,0.00017667844522968197,0.0009717314487632509,0.07756183745583038
5965,3903,8.668515950069348e-05,0.00043342579750346743,0.005894590846047157
5965,10101,8.585164835164836e-05,8.585164835164836e-05,0.00025755494505494506
5965,9889,0.0005682279405795925,0.00535757772546473,0.12436074356684795
5965,49,0.09301950669031114,0.13775592455263583,0.1924875060454619
5965,9946,0.001141552511415525,0.017427701674277016,0.46552511415525116
6794,145804,0.0924153447223917,0.2161378889566809,0.30462553386211105
6794,3,0.270501262170934,0.3857194374323837,0.5607645149657411
6794,146065,0.0029615492193027196,0.020862468944865827,0.12820217509337106
6794,10101,1.5162542455118874e-05,3.0325084910237748e-05,0.0007884522076661815
6794,9914,1.4450867052023121e-05,0.0011271676300578036,0.20923410404624276
6794,31,9.774597775301547e-06,1.9549195550603094e-05,0.003968486696772428
7607,14965,0.010819165378670788,0.027820710973724884,0.13601236476043277
7607,145976,0.007385524372230428,0.011816838995568686,0.06351550960118169
7607,3896,0.005780346820809248,0.036127167630057806,0.23554913294797689
7607,3913,0.004310344827586207,0.004310344827586207,0.008620689655172414
7607,3903,0.001430615164520744,0.001430615164520744,0.001430615164520744
7607,9946,0.018005540166204988,0.0664819944598338,0.5858725761772853
7607,9967,0.5977653631284916,0.646927374301676,0.6960893854748603
7609,145854,0.07880220646178093,0.18991331757289204,0.4152876280535855
7609,3903,0.005417956656346749,0.005417956656346749,0.01393188854489164
7609,9967,0.5436968290796597,0.5939675174013921,0.6620262954369683
7609,145853,0.0023148148148148147,0.005401234567901234,0.03935185185185185
7609,34537,0.10674931129476584,0.1859504132231405,0.3622589531680441
7609,125923,0.029451137884872823,0.1318607764390897,0.6291834002677377
7609,145878,0.006905210295040804,0.035781544256120526,0.43440050219711235
5527,146064,0.13514177271712435,0.16099575798169236,0.17640098236213442
5527,146065,0.018012835493555288,0.018534165063728045,0.020853182806910314
5527,9914,0.033695560609889645,0.10548395248925954,0.2343189284811726
5527,145804,0.1328420733861606,0.1424653846800922,0.43187133027137065
5527,31,3.301746623964077e-05,0.0001155611318387427,0.00039620959487568925
5527,10101,1.3417235781084382e-05,6.70861789054219e-05,0.0007111134963974722
5891,9889,0.03715170278637771,0.09520123839009288,0.22213622291021673
5891,3899,0.004638577502899111,0.013142636258214147,0.048318515655199075
5891,6566,0.0010795250089960418,0.0028787333573227778,0.02734796689456639
5891,9980,0.0006795786612300374,0.0006795786612300374,0.0006795786612300374
5891,3891,0.043139798897178075,0.04865390853065196,0.08984755108660396
5891,3492,0.12842930358757915,0.13656918902622853,0.1661139583961411
5636,146064,2.2809698683880386e-05,2.2809698683880386e-05,2.2809698683880386e-05
5636,145804,0.00010753613214039918,0.00015055058499655884,0.0003011011699931177
5636,9914,2.013368768623661e-05,2.013368768623661e-05,0.0001812031891761295
5636,146065,1.9798451761072282e-05,3.9596903522144565e-05,7.919380704428913e-05
5636,10101,1.4459643136007403e-05,1.4459643136007403e-05,5.783857254402961e-05
5636,31,1.2558238832586118e-05,1.2558238832586118e-05,2.5116477665172235e-05
5859,9983,0.00034746351633078526,0.00034746351633078526,0.00034746351633078526
5859,31,0.00033112582781456954,0.00033112582781456954,0.00033112582781456954
5859,37,0.00030731407498463427,0.00030731407498463427,0.0018438844499078057
5859,3902,0.00029437739181630853,0.00029437739181630853,0.00029437739181630853
5859,9977,0.0005773672055427252,0.0008660508083140878,0.0023094688221709007
5859,125923,0.0007925500297206261,0.003368337626312661,0.654448187041807
5889,9971,0.006711409395973154,0.006711409395973154,0.010067114093959731
5889,3918,0.01,0.01,0.01
4796,3549,0.03,0.06333333333333334,0.12333333333333334
4796,3918,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335
4796,9903,0.0033333333333333335,0.0033333333333333335,0.01
4796,23,0.0033333333333333335,0.05333333333333334,0.10666666666666667
6766,3903,0.0002809347465202401,0.0002809347465202401,0.0002809347465202401
6766,146064,0.47733241977846297,0.47733241977846297,0.47733241977846297
6766,145953,0.04681801892957271,0.09281392946731593,0.2119353274731761
6766,145804,0.15137379828204106,0.1582190871684017,0.16601247700855187
6766,31,0.0013175013586732762,0.003277284629699774,0.013109138518799097
6766,10101,0.009249060760143035,0.009249060760143035,0.009249060760143035
