ss,task,seed,K,regret,mean_cand
6767,146065,0,50,0.058364766931465084,50.0
6767,146065,0,100,0.03112803159807387,100.0
6767,146065,0,250,0.0,250.0
6767,146065,0,500,0.4941618863432806,500.0
6767,146065,0,1000,0.027236735333390882,1000.0
6767,146065,0,2000,0.007782592529365973,2000.0
6767,146065,0,4000,0.25291788756866485,4000.0
6767,146065,0,8000,0.0038912962646829863,8000.0
6767,146065,0,16000,0.0,16000.0
6767,146065,0,full,0.0038912962646829863,44243.5
6767,146065,1,50,0.0,50.0
6767,146065,1,100,0.027236735333390882,100.0
6767,146065,1,250,0.06225606319614807,250.0
6767,146065,1,500,0.07392995199019703,500.0
6767,146065,1,1000,0.011673888794048959,1000.0
6767,146065,1,2000,0.0,2000.0
6767,146065,1,4000,0.01945414280402502,4000.0
6767,146065,1,8000,0.0038912962646829863,8000.0
6767,146065,1,16000,0.0038912962646829863,16000.0
6767,146065,1,full,0.0,44243.5
6767,146065,2,50,0.0038912962646829863,50.0
6767,146065,2,100,0.011673888794048959,100.0
6767,146065,2,250,0.01945414280402502,250.0
6767,146065,2,500,0.14785990398039373,500.0
6767,146065,2,1000,0.1556424965097597,1000.0
6767,146065,2,2000,0.07392995199019703,2000.0
6767,146065,2,4000,0.0505845129214888,4000.0
6767,146065,2,8000,0.0,8000.0
6767,146065,2,16000,0.4435797119411814,16000.0
6767,146065,2,full,0.023345439068708007,44243.5
6767,146065,3,50,0.054475809186171786,50.0
6767,146065,3,100,0.14007731145102775,100.0
6767,146065,3,250,0.6614782716470892,250.0
6767,146065,3,500,0.0505845129214888,500.0
6767,146065,3,1000,0.06225606319614807,1000.0
6767,146065,3,2000,0.011673888794048959,2000.0
6767,146065,3,4000,0.0,4000.0
6767,146065,3,8000,0.0,8000.0
6767,146065,3,16000,0.8015555830981173,16000.0
6767,146065,3,full,0.011673888794048959,44243.5
6767,146065,4,50,0.01945414280402502,50.0
6767,146065,4,100,0.0,100.0
6767,146065,4,250,0.0,250.0
6767,146065,4,500,0.01945414280402502,500.0
6767,146065,4,1000,0.8015555830981173,1000.0
6767,146065,4,2000,0.3346304320882276,2000.0
6767,146065,4,4000,0.0038912962646829863,4000.0
6767,146065,4,8000,0.01945414280402502,8000.0
6767,146065,4,16000,0.0,16000.0
6767,146065,4,full,0.0038912962646829863,44243.5
6767,145804,0,50,0.014399119559902473,50.0
6767,145804,0,100,0.014399119559902473,100.0
6767,145804,0,250,0.011200166768597808,250.0
6767,145804,0,500,0.007999681177680684,500.0
6767,145804,0,1000,0.01280040956405648,1000.0
6767,145804,0,2000,0.01280040956405648,2000.0
6767,145804,0,4000,0.011200166768597808,4000.0
6767,145804,0,8000,0.01280040956405648,8000.0
6767,145804,0,16000,0.015999362355361146,16000.0
6767,145804,0,full,0.009599923973139024,45088.5
6767,145804,1,50,0.014399119559902473,50.0
6767,145804,1,100,0.011200166768597808,100.0
6767,145804,1,250,0.02399904353304183,250.0
6767,145804,1,500,0.02399904353304183,500.0
6767,145804,1,1000,0.011200166768597808,1000.0
6767,145804,1,2000,0.009599923973139024,2000.0
6767,145804,1,4000,0.014399119559902473,4000.0
6767,145804,1,8000,0.02399904353304183,8000.0
6767,145804,1,16000,0.022400333537195505,16000.0
6767,145804,1,full,0.011200166768597808,45088.5
6767,145804,2,50,0.02399904353304183,50.0
6767,145804,2,100,0.011200166768597808,100.0
6767,145804,2,250,0.0016002427954586729,250.0
6767,145804,2,500,0.02399904353304183,500.0
6767,145804,2,1000,0.009599923973139024,1000.0
6767,145804,2,2000,0.01759960515081982,2000.0
6767,145804,2,4000,0.006399438382222011,4000.0
