ss,task,seed,K,ok,mean_cand,regret_B5,regret_B10,regret_B25,err
6767,146065,0,2,1,2.0,0.5058357751373295,0.5058357751373295,0.5058357751373295,
6767,146065,0,35,1,35.0,0.5058357751373295,0.5058357751373295,0.30350240049015365,
6767,146065,0,8,1,8.0,0.5058357751373295,0.5058357751373295,0.5058357751373295,
6767,146065,0,5,1,5.0,0.5058357751373295,0.5058357751373295,0.5058357751373295,
6767,146065,0,20,1,20.0,0.5058357751373295,0.46303385474520664,0.011673888794048959,
6767,146065,0,1,1,1.0,0.5058357751373295,0.5058357751373295,0.5058357751373295,
6767,146065,0,50,1,50.0,0.5058357751373295,0.5058357751373295,0.058364766931465084,
6767,146065,0,13,1,13.0,0.5058357751373295,0.5058357751373295,0.007782592529365973,
6767,146065,1,1,1,1.0,0.08949513704892886,0.08949513704892886,0.08949513704892886,
6767,146065,0,3,1,3.0,0.5058357751373295,0.5058357751373295,0.01945414280402502,
6767,146065,1,2,1,2.0,0.08949513704892886,0.08949513704892886,0.08949513704892886,
6767,146065,1,3,1,3.0,0.08949513704892886,0.015565185058731945,0.015565185058731945,
6767,146065,1,5,1,5.0,0.08949513704892886,0.08949513704892886,0.0,
6767,146065,1,13,1,13.0,0.08949513704892886,0.08949513704892886,0.08949513704892886,
6767,146065,1,8,1,8.0,0.08949513704892886,0.08949513704892886,0.0,
6767,146065,1,20,1,20.0,0.08949513704892886,0.015565185058731945,0.0038912962646829863,
6767,146065,1,35,1,35.0,0.08949513704892886,0.08949513704892886,0.04280192039212283,
6767,146065,1,50,1,50.0,0.08949513704892886,0.011673888794048959,0.0,
6767,146065,2,1,1,1.0,0.8015555830981173,0.8015555830981173,0.8015555830981173,
6767,146065,2,2,1,2.0,0.8015555830981173,0.8015555830981173,0.0,
6767,146065,2,3,1,3.0,0.8015555830981173,0.8015555830981173,0.6809324144511144,
6767,146065,2,13,1,13.0,0.8015555830981173,0.8015555830981173,0.5680918383334777,
6767,146065,2,5,1,5.0,0.8015555830981173,0.6848237107157974,0.0,
6767,146065,2,8,1,8.0,0.8015555830981173,0.8015555830981173,0.4202319343530836,
6767,146065,2,20,1,20.0,0.8015555830981173,0.4980531826079636,0.4980531826079636,
6767,146065,2,35,1,35.0,0.8015555830981173,0.8015555830981173,0.07782124825488002,
6767,146065,2,50,1,50.0,0.8015555830981173,0.09727539105890493,0.0038912962646829863,
6767,146065,3,2,1,2.0,0.8015555830981173,0.8015555830981173,0.5369638067354034,
6767,146065,3,1,1,1.0,0.8015555830981173,0.8015555830981173,0.8015555830981173,
6767,146065,3,3,1,3.0,0.8015555830981173,0.8015555830981173,0.4241232306177666,
6767,146065,3,5,1,5.0,0.8015555830981173,0.8015555830981173,0.8015555830981173,
6767,146065,3,20,1,20.0,0.8015555830981173,0.8015555830981173,0.01945414280402502,
6767,146065,3,8,1,8.0,0.8015555830981173,0.25291788756866485,0.25291788756866485,
6767,146065,3,13,1,13.0,0.8015555830981173,0.7315169273726032,0.0038912962646829863,
6767,146065,3,35,1,35.0,0.8015555830981173,0.5525289917941354,0.058364766931465084,
6767,146065,3,50,1,50.0,0.8015555830981173,0.24902659130398164,0.054475809186171786,
6767,146065,4,1,1,1.0,0.8015555830981173,0.5486376955294523,0.07392995199019703,
6767,146065,4,5,1,5.0,0.8015555830981173,0.8015555830981173,0.8015555830981173,
6767,146065,4,2,1,2.0,0.8015555830981173,0.8015555830981173,0.0038912962646829863,
6767,146065,4,3,1,3.0,0.8015555830981173,0.8015555830981173,0.8015555830981173,
6767,146065,4,8,1,8.0,0.8015555830981173,0.2645917763627138,0.2645917763627138,
6767,146065,4,13,1,13.0,0.8015555830981173,0.8015555830981173,0.7354082236372862,
6767,146065,4,50,1,50.0,0.8015555830981173,0.8015555830981173,0.01945414280402502,
6767,146065,4,20,1,20.0,0.8015555830981173,0.8015555830981173,0.20233337464717582,
6767,146065,4,35,1,35.0,0.8015555830981173,0.8015555830981173,0.2373550410293226,
6767,145804,0,1,1,1.0,0.025599286328500503,0.02399904353304183,0.014399119559902473,
6767,145804,0,2,1,2.0,0.025599286328500503,0.02399904353304183,0.02399904353304183,
6767,145804,0,3,1,3.0,0.025599286328500503,0.02399904353304183,0.02399904353304183,
6767,145804,0,5,1,5.0,0.025599286328500503,0.011200166768597808,0.011200166768597808,
6767,145804,0,8,1,8.0,0.025599286328500503,0.02399904353304183,0.011200166768597808,
6767,145804,0,13,1,13.0,0.025599286328500503,0.011200166768597808,0.011200166768597808,
6767,145804,0,35,1,35.0,0.025599286328500503,0.019199847946278492,0.011200166768597808,
6767,145804,0,20,1,20.0,0.025599286328500503,0.025599286328500503,0.01759960515081982,
6767,145804,0,50,1,50.0,0.025599286328500503,0.02399904353304183,0.014399119559902473,
6767,145804,1,1,1,1.0,0.02399904353304183,0.02399904353304183,0.02399904353304183,
6767,145804,1,2,1,2.0,0.02399904353304183,0.02399904353304183,0.022400333537195505,
6767,145804,1,13,1,13.0,0.02399904353304183,0.015999362355361146,0.006399438382222011,
6767,145804,1,3,1,3.0,0.02399904353304183,0.02399904353304183,0.014399119559902473,
6767,145804,1,5,1,5.0,0.02399904353304183,0.022400333537195505,0.009599923973139024,
6767,145804,1,8,1,8.0,0.02399904353304183,0.015999362355361146,0.015999362355361146,
6767,145804,1,20,1,20.0,0.02399904353304183,0.02399904353304183,0.007999681177680684,
6767,145804,1,35,1,35.0,0.02399904353304183,0.02399904353304183,0.011200166768597808,
6767,145804,1,50,1,50.0,0.02399904353304183,0.02399904353304183,0.014399119559902473,
6767,145804,2,1,1,1.0,0.17119992152065977,0.02399904353304183,0.02399904353304183,
6767,145804,2,2,1,2.0,0.17119992152065977,0.02399904353304183,0.02399904353304183,
6767,145804,2,3,1,3.0,0.17119992152065977,0.02399904353304183,0.02399904353304183,
6767,145804,2,5,1,5.0,0.17119992152065977,0.02399904353304183,0.02399904353304183,
6767,145804,2,8,1,8.0,0.17119992152065977,0.02399904353304183,0.015999362355361146,
6767,145804,2,13,1,13.0,0.17119992152065977,0.02399904353304183,0.009599923973139024,
6767,145804,2,20,1,20.0,0.17119992152065977,0.019199847946278492,0.009599923973139024,
6767,145804,2,35,1,35.0,0.17119992152065977,0.02399904353304183,0.009599923973139024,
6767,145804,3,1,1,1.0,0.03200025751033497,0.02399904353304183,0.02399904353304183,
6767,145804,3,2,1,2.0,0.03200025751033497,0.03200025751033497,0.01759960515081982,
6767,145804,3,3,1,3.0,0.03200025751033497,0.02399904353304183,0.02399904353304183,
6767,145804,2,50,1,50.0,0.17119992152065977,0.17119992152065977,0.02399904353304183,
6767,145804,3,5,1,5.0,0.03200025751033497,0.03200025751033497,0.02399904353304183,
6767,145804,3,8,1,8.0,0.03200025751033497,0.009599923973139024,0.009599923973139024,
6767,145804,3,13,1,13.0,0.03200025751033497,0.027199529123958843,0.015999362355361146,
6767,145804,3,20,1,20.0,0.03200025751033497,0.020800090741737165,0.011200166768597808,
6767,145804,3,35,1,35.0,0.03200025751033497,0.03200025751033497,0.015999362355361146,
6767,145804,3,50,1,50.0,0.03200025751033497,0.01759960515081982,0.01759960515081982,
6767,145804,4,1,1,1.0,0.02399904353304183,0.02399904353304183,0.007999681177680684,
6767,145804,4,5,1,5.0,0.02399904353304183,0.02399904353304183,0.01280040956405648,
6767,145804,4,3,1,3.0,0.02399904353304183,0.007999681177680684,0.007999681177680684,
6767,145804,4,2,1,2.0,0.02399904353304183,0.02399904353304183,0.02399904353304183,
6767,145804,4,8,1,8.0,0.02399904353304183,0.01280040956405648,0.01280040956405648,
6767,145804,4,20,1,20.0,0.02399904353304183,0.02399904353304183,0.006399438382222011,
6767,145804,4,13,1,13.0,0.02399904353304183,0.011200166768597808,0.011200166768597808,
6767,145804,4,50,1,50.0,0.02399904353304183,0.02399904353304183,0.02399904353304183,
6767,145804,4,35,1,35.0,0.02399904353304183,0.014399119559902473,0.014399119559902473,
