ss,task,seed,surrogate,mode,ok,regret,mean_cand,over_pred,err
6767,146065,0,tpe,full,1,0.5058357751373295,44243.5,,
6767,146065,0,tpe,restricted,1,0.06614735946083106,2000.0,,
6767,146065,1,tpe,full,1,0.08949513704892886,44243.5,,
6767,146065,1,tpe,restricted,1,0.08949513704892886,2000.0,,
6767,146065,2,tpe,full,1,0.0038912962646829863,44243.5,,
6767,146065,2,tpe,restricted,1,0.5836570233922095,2000.0,,
6767,146065,3,tpe,full,1,0.6770411181864315,44243.5,,
6767,146065,3,tpe,restricted,1,0.6614782716470892,2000.0,,
6767,146065,4,tpe,full,1,0.7081714883038952,44243.5,,
6767,146065,4,tpe,restricted,1,0.10894927985295388,2000.0,,
6767,145804,0,tpe,full,1,0.015999362355361146,45088.5,,
6767,145804,0,tpe,restricted,1,0.011200166768597808,2000.0,,
6767,145804,1,tpe,full,1,0.02399904353304183,45088.5,,
6767,145804,1,tpe,restricted,1,0.02399904353304183,2000.0,,
6767,145804,2,tpe,full,1,0.02399904353304183,45088.5,,
6767,145804,2,tpe,restricted,1,0.011200166768597808,2000.0,,
6767,145804,3,tpe,full,1,0.011200166768597808,45088.5,,
6767,145804,3,tpe,restricted,1,0.02399904353304183,2000.0,,
6767,145804,4,tpe,full,1,0.02399904353304183,45088.5,,
6767,145804,4,tpe,restricted,1,0.014399119559902473,2000.0,,
6767,146064,0,tpe,full,1,0.006116005162132732,46051.5,,
6767,146064,0,tpe,restricted,1,0.0,2000.0,,
6767,146064,1,tpe,full,1,0.42813566411450543,46051.5,,
6767,146064,1,tpe,restricted,1,0.0,2000.0,,
6767,146064,2,tpe,full,1,0.0,46051.5,,
6767,146064,2,tpe,restricted,1,0.0,2000.0,,
6767,146064,3,tpe,full,1,0.0,46051.5,,
6767,146064,3,tpe,restricted,1,0.0,2000.0,,
6767,146064,4,tpe,full,1,0.0,46051.5,,
6767,146064,4,tpe,restricted,1,0.42813566411450543,2000.0,,
6767,9914,0,tpe,full,1,0.13396619587867697,47395.5,,
6767,9914,0,tpe,restricted,1,0.16744616809446644,2000.0,,
6767,9914,1,tpe,full,1,0.07654549664274202,47395.5,,
6767,9914,1,tpe,restricted,1,0.0621903218337595,2000.0,,
6767,9914,2,tpe,full,1,0.11481824496411297,47395.5,,
6767,9914,2,tpe,restricted,1,0.0621903218337595,2000.0,,
6767,9914,3,tpe,full,1,0.1291734197730955,47395.5,,
6767,9914,3,tpe,restricted,1,0.07175272053716297,2000.0,,
6767,9914,4,tpe,full,1,0.04783514702477443,47395.5,,
6767,9914,4,tpe,restricted,1,0.25836999305394803,2000.0,,
6767,9967,0,tpe,full,1,0.0013600196476626358,48609.5,,
6767,9967,0,tpe,restricted,1,0.0013600196476626358,2000.0,,
6767,9967,1,tpe,full,1,0.0013600196476626358,48609.5,,
6767,9967,1,tpe,restricted,1,0.0027200392953249386,2000.0,,
6767,9967,2,tpe,full,1,0.0027200392953249386,48609.5,,
6767,9967,2,tpe,restricted,1,0.0027200392953249386,2000.0,,
6767,9967,3,tpe,full,1,0.0013600196476626358,48609.5,,
6767,9967,3,tpe,restricted,1,0.0027200392953249386,2000.0,,
6767,9967,4,tpe,full,1,0.0013600196476626358,48609.5,,
6767,9967,4,tpe,restricted,1,0.0013600196476626358,2000.0,,
6767,31,0,tpe,full,1,0.16666666666666685,68233.5,,
6767,31,0,tpe,restricted,1,0.1250000000000001,2000.0,,
6767,31,1,tpe,full,1,0.06666666666666676,68233.5,,
6767,31,1,tpe,restricted,1,0.08333333333333337,2000.0,,
6767,31,2,tpe,full,1,0.15833333333333344,68233.5,,
6767,31,2,tpe,restricted,1,0.17500000000000016,2000.0,,
6767,31,3,tpe,full,1,0.17500000000000016,68233.5,,
6767,31,3,tpe,restricted,1,0.11666666666666681,2000.0,,
6767,31,4,tpe,full,1,0.15833333333333344,68233.5,,
6767,31,4,tpe,restricted,1,0.05833333333333335,2000.0,,
5906,9971,0,tpe,full,1,0.05881445155095133,239.5,,
5906,9971,0,tpe,restricted,1,0.08823882439685149,239.5,,
5906,9971,1,tpe,full,1,0.05881445155095133,239.5,,
5906,9971,1,tpe,restricted,1,0.08823882439685149,239.5,,
5906,9971,2,tpe,full,1,0.14705327594780482,239.5,,
5906,9971,2,tpe,restricted,1,0.05881445155095133,239.5,,
5906,9971,3,tpe,full,1,0.08823882439685149,239.5,,
5906,9971,3,tpe,restricted,1,0.08823882439685149,239.5,,
5906,9971,4,tpe,full,1,0.08823882439685149,239.5,,
5906,9971,4,tpe,restricted,1,0.14705327594780482,239.5,,
5906,3918,0,tpe,full,1,0.1818059616224761,244.5,,
5906,3918,0,tpe,restricted,1,0.1818059616224761,244.5,,
5906,3918,1,tpe,full,1,0.1818059616224761,244.5,,
5906,3918,1,tpe,restricted,1,0.1818059616224761,244.5,,
5906,3918,2,tpe,full,1,0.1818059616224761,244.5,,
5906,3918,2,tpe,restricted,1,0.1818059616224761,244.5,,
5906,3918,3,tpe,full,1,0.21211815707228476,244.5,,
5906,3918,3,tpe,restricted,1,0.1818059616224761,244.5,,
5906,3918,4,tpe,full,1,0.15152737171085728,244.5,,
5906,3918,4,tpe,restricted,1,0.1818059616224761,244.5,,
5971,10093,0,tpe,full,1,0.018120831157793726,2250.5,,
5971,10093,0,tpe,restricted,1,0.018120831157793726,2000.0,,
5971,10093,1,tpe,full,1,0.0164730719069478,2250.5,,
5971,10093,1,tpe,restricted,1,0.018120831157793726,2000.0,,
5971,10093,2,tpe,full,1,0.0164730719069478,2250.5,,
5971,10093,2,tpe,restricted,1,0.011532054455165697,2000.0,,
5971,10093,3,tpe,full,1,0.00658877670262803,2250.5,,
5971,10093,3,tpe,restricted,1,0.0032932582009360667,2000.0,,
5971,10093,4,tpe,full,1,0.0164730719069478,2250.5,,
5971,10093,4,tpe,restricted,1,0.008236535953473956,2000.0,,
5971,3954,0,tpe,full,1,0.039500813890395725,2377.5,,
5971,3954,0,tpe,restricted,1,0.012287658082557495,2000.0,,
5971,3954,1,tpe,full,1,0.0,2377.5,,
5971,3954,1,tpe,restricted,1,0.031599816352936294,2000.0,,
5971,3954,2,tpe,full,1,0.022162861555156455,2377.5,,
5971,3954,2,tpe,restricted,1,0.022162861555156455,2000.0,,
5971,3954,3,tpe,full,1,0.0043866605450979534,2377.5,,
5971,3954,3,tpe,restricted,1,0.0401561000041738,2000.0,,
5971,3954,4,tpe,full,1,0.029842647856755278,2377.5,,
5971,3954,4,tpe,restricted,1,0.001974205935138973,2000.0,,
5971,43,0,tpe,restricted,1,0.009298982246360388,2000.0,,
