ss_id,task_id,dim,n_configs,rf_candidate_2k,rf_smbo,random,tpe,gain_vs_smbo
4796,23,3,300,0.008161,0.009435,0.017597,0.035200,0.001275
4796,3549,3,300,0.003043,0.001739,0.013912,0.010000,-0.001304
4796,3918,3,300,0.129321,0.146564,0.151740,0.167256,0.017243
4796,9903,3,300,0.041549,0.051408,0.080282,0.123239,0.009859
5527,146064,6,44790,0.023056,0.015556,0.004861,0.004861,-0.007500
5527,146065,6,44790,0.248565,0.322746,0.185451,0.185451,0.074180
5527,9914,6,44790,0.008502,0.009518,0.009328,0.009328,0.001015
5636,10101,6,43841,0.247670,0.120923,0.380230,0.380230,-0.126747
5636,145804,6,43841,0.392198,0.303722,0.656028,0.656028,-0.088475
5636,146064,6,43841,0.257200,0.172000,0.280600,0.280600,-0.085200
5636,146065,6,43841,0.556572,0.697417,0.774647,0.774647,0.140845
5636,31,6,43841,0.395690,0.694828,0.401724,0.401724,0.299138
5636,9914,6,43841,0.211109,0.254996,0.287775,0.287775,0.043887
5859,125923,6,2878,0.032709,0.031774,0.031775,0.031775,-0.000935
5859,31,6,2878,0.286364,0.130000,0.480909,0.480909,-0.156364
5859,37,6,2878,0.069663,0.079777,0.156180,0.156180,0.010113
5859,3902,6,2878,0.351373,0.808329,0.399986,0.399986,0.456956
5859,9977,6,2878,0.035297,0.073190,0.192654,0.192654,0.037893
5859,9983,6,2878,0.175541,0.187978,0.468448,0.468448,0.012437
5889,3918,5,298,0.026654,0.019993,0.083305,0.083305,-0.006662
5889,9971,5,298,0.052326,0.055814,0.145347,0.145347,0.003489
5891,9889,6,2584,0.014322,0.010029,0.007711,0.007711,-0.004293
6766,10101,2,39155,0.063641,0.081824,0.127281,0.168193,0.018183
6766,145804,2,39155,0.000000,0.000000,0.000000,0.056094,0.000000
6766,145953,2,39155,0.008379,0.012883,0.009322,0.014280,0.004504
6766,146064,2,39155,0.007141,0.007141,0.007141,0.007141,0.000000
6766,31,2,39155,0.047692,0.053846,0.063077,0.066154,0.006154
6766,3903,2,39155,0.242849,0.260707,0.207151,0.257134,0.017858
6767,145804,17,44258,0.013600,0.016000,0.020320,0.020320,0.002400
6767,146064,17,44258,0.066667,0.110245,0.021560,0.021560,0.043578
6767,146065,17,44258,0.108366,0.170233,0.186576,0.186576,0.061868
6767,31,17,44258,0.117500,0.125417,0.137500,0.137500,0.007917
6767,9914,17,44258,0.066497,0.080132,0.147361,0.147361,0.013635
6767,9967,17,44258,0.001700,0.001496,0.001836,0.001836,-0.000204
