ss_id,task_id,split,dim,n_configs,adaptive_k_reg,rf_smbo_reg,delta
5527,3493,validation,6,44790,0.4627,0.2672,-0.1954
5636,10101,test,6,43841,0.2930,0.1209,-0.1721
5859,31,test,6,2878,0.2791,0.1300,-0.1491
6767,3493,validation,17,44258,0.1953,0.1027,-0.0926
5636,146064,test,6,43841,0.2480,0.1720,-0.0760
5636,3917,validation,6,43841,0.1937,0.1368,-0.0569
5636,10093,validation,6,43841,0.1540,0.0996,-0.0544
5965,9971,validation,8,11228,0.1717,0.1377,-0.0340
5859,9957,validation,6,2878,0.0426,0.0114,-0.0312
5891,3899,test,6,2584,0.0718,0.0524,-0.0194
5965,10101,test,8,11228,0.1093,0.0929,-0.0164
6767,10101,validation,17,44258,0.1987,0.1838,-0.0149
5527,146064,test,6,44790,0.0299,0.0156,-0.0143
5891,9980,test,6,2584,0.0909,0.0818,-0.0091
5891,6566,test,6,2584,0.0244,0.0159,-0.0084
5965,145836,test,8,11228,0.0629,0.0553,-0.0076
5527,3913,validation,6,44790,0.0793,0.0719,-0.0073
5636,43,validation,6,43841,0.0957,0.0884,-0.0073
5965,37,validation,8,11228,0.0846,0.0774,-0.0072
5891,3492,test,6,2584,0.0067,0.0000,-0.0067
