ss_id,algorithm,dim,n_configs,n_tasks,random,tpe,rf_smbo,rf_candidate_2k,best_method,cand_rank
4796,glmnet,3,300,4,0.065883,0.083924,0.052287,0.045519,rf_candidate_2k,1
5527,svm,6,44790,6,0.071051,0.071051,0.107583,0.091188,random,3
5636,rpart,6,43841,6,0.463501,0.463501,0.373981,0.343406,rf_candidate_2k,1
5859,rpart,6,2878,6,0.288325,0.288325,0.218508,0.158491,rf_candidate_2k,1
5889,ranger,5,298,2,0.114326,0.114326,0.037904,0.039490,rf_smbo,2
5891,svm,6,2584,6,0.038358,0.038358,0.031162,0.025769,rf_candidate_2k,1
5906,xgboost,15,254,2,0.115238,0.115238,0.084915,0.096078,rf_smbo,2
5965,ranger,8,11228,7,0.054123,0.054123,0.046027,0.046402,rf_smbo,2
5971,xgboost,15,2265,6,0.022360,0.022360,0.012624,0.016855,rf_smbo,2
6766,glmnet,2,39155,6,0.068995,0.094833,0.069400,0.061617,rf_candidate_2k,1
6767,xgboost,17,44258,6,0.085859,0.085859,0.083920,0.062388,rf_candidate_2k,1
6794,ranger,8,52448,6,0.034876,0.034876,0.034928,0.034377,rf_candidate_2k,1
7607,ranger,7,647,7,0.049101,0.049101,0.035291,0.036088,rf_smbo,2
7609,ranger,7,1269,7,0.023544,0.023544,0.014053,0.016671,rf_smbo,2
