method,mean_regret
random,0.245135
random,0.007783
random,0.058365
random,0.011674
random,0.062256
random,0.003200
random,0.023999
random,0.004799
random,0.023999
random,0.011200
random,0.000000
random,0.000000
random,0.000000
random,0.000000
random,0.000000
random,0.100463
random,0.133966
random,0.177032
random,0.172239
random,0.291850
random,0.002720
random,0.002720
random,0.000000
random,0.002720
random,0.002720
random,0.133333
random,0.108333
random,0.150000
random,0.108333
random,0.033333
tpe,0.801556
tpe,0.007783
tpe,0.136186
tpe,0.801556
tpe,0.003891
tpe,0.023999
tpe,0.015999
tpe,0.006399
tpe,0.023999
tpe,0.023999
tpe,0.431193
tpe,0.431193
tpe,0.000000
tpe,0.088685
tpe,0.299694
tpe,0.033480
tpe,0.076545
tpe,0.483260
tpe,0.315791
tpe,0.535888
tpe,0.001360
tpe,0.001360
tpe,0.001360
tpe,0.001360
tpe,0.001360
tpe,0.116667
tpe,0.125000
tpe,0.125000
tpe,0.125000
tpe,0.141667
single_best,0.256809
single_best,0.256809
single_best,0.256809
single_best,0.256809
single_best,0.256809
single_best,0.529599
single_best,0.529599
single_best,0.529599
single_best,0.529599
single_best,0.529599
single_best,0.406729
single_best,0.406729
single_best,0.406729
single_best,0.406729
single_best,0.406729
single_best,0.952165
single_best,0.952165
single_best,0.952165
single_best,0.952165
single_best,0.952165
single_best,0.043536
single_best,0.043536
single_best,0.043536
single_best,0.043536
single_best,0.043536
single_best,0.300000
single_best,0.300000
single_best,0.300000
single_best,0.300000
single_best,0.300000
topB_portfolio,0.256809
topB_portfolio,0.256809
topB_portfolio,0.256809
topB_portfolio,0.256809
topB_portfolio,0.256809
topB_portfolio,0.376000
topB_portfolio,0.376000
topB_portfolio,0.376000
topB_portfolio,0.376000
topB_portfolio,0.376000
topB_portfolio,0.406729
topB_portfolio,0.406729
topB_portfolio,0.406729
topB_portfolio,0.406729
topB_portfolio,0.406729
topB_portfolio,0.861241
topB_portfolio,0.861241
topB_portfolio,0.861241
